Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
s70,r98,APPROVED,Not Applicable,2024-07-02T16:50:13.906000Z,2024-07-02T16:58:13.513000Z,2024-07-02T16:58:52.526000Z,2024-07-02T16:59:06.085484Z,480,CB1VAZXU,610,35,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
s71,r124,APPROVED,Not Applicable,2024-07-02T17:15:10.378000Z,2024-07-02T17:18:38.109000Z,2024-07-02T17:19:27.062000Z,2024-07-02T17:19:45.001026Z,208,CB1VAZXU,2771,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s72,r21,APPROVED,Not Applicable,2024-07-02T18:51:34.742000Z,2024-07-02T18:55:52.291000Z,2024-07-02T18:55:53.281000Z,2024-07-02T18:56:50.130508Z,258,CB1VAZXU,270,28,Male,Mixed,DATA_EXPIRED,United States,DATA_EXPIRED,English,Yes,Full-Time
s73,r79,APPROVED,Not Applicable,2024-07-02T20:43:07.666000Z,2024-07-02T20:55:13.151000Z,2024-07-02T20:55:16.340000Z,2024-07-02T20:55:13.762383Z,726,CB1VAZXU,449,42,Female,Mixed,Korea,United States,United States,English,No,Full-Time
s74,r73,APPROVED,Not Applicable,2024-07-02T20:53:41.855000Z,2024-07-02T21:00:23.258000Z,2024-07-02T21:00:44.030000Z,2024-07-02T21:01:33.132958Z,402,CB1VAZXU,322,43,Male,White,United States,United States,United States,English,No,Full-Time
s75,r116,APPROVED,Not Applicable,2024-07-02T22:08:41.829000Z,2024-07-02T22:18:01.257000Z,2024-07-02T22:19:21.038000Z,2024-07-02T22:21:51.653941Z,560,CB1VAZXU,1685,47,Female,Black,United States,United States,United States,English,No,Full-Time
s76,r112,APPROVED,Not Applicable,2024-07-03T08:16:10.182000Z,2024-07-03T08:28:02.529000Z,2024-07-03T08:28:05.775000Z,2024-07-03T08:28:03.161179Z,713,CB1VAZXU,293,31,Female,Black,Nigeria,United States,Nigeria,English,Yes,Full-Time
s77,r58,APPROVED,Not Applicable,2024-07-03T15:28:00.999000Z,2024-07-03T15:31:19.379000Z,2024-07-03T15:31:20.526000Z,2024-07-03T15:31:20.451980Z,199,CB1VAZXU,551,43,Male,White,United States,United States,United States,English,No,Part-Time
s78,r47,APPROVED,Not Applicable,2024-07-03T23:59:12.616000Z,2024-07-04T00:03:39.867000Z,2024-07-04T00:03:42.836000Z,2024-07-04T00:03:55.358755Z,268,CB1VAZXU,621,33,Male,White,United States,United States,United States,English,Yes,Full-Time
s79,r16,APPROVED,Not Applicable,2024-07-04T14:40:16.831000Z,2024-07-04T14:43:02.578000Z,2024-07-04T14:43:23.844000Z,2024-07-04T14:43:09.482341Z,166,CB1VAZXU,216,32,Female,Other,United States,United States,United States,English,No,Part-Time
s80,r92,APPROVED,Not Applicable,2024-07-04T17:27:44.142000Z,2024-07-04T17:37:36.002000Z,2024-07-04T17:37:37.245000Z,2024-07-04T17:39:55.293252Z,592,CB1VAZXU,719,56,Male,Black,Ghana,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
